Date,Open,High,Low,Close,Adj Close,Volume,year,month,Close_FD,High_FD,Low_FD,Open_FD,ADX_FD,SMA_FD,macd,macdsignal,macdhist,upperband,middleband,lowerband,RSI_FD,ret1,std5,std10,std20,std40,future_return
18/07/2016,24.67499924,25.03249931,24.64999962,24.95750046,23.35452271,145975600,2016,Jul,0.414098879,0.421332588,0.414128626,0.412039861,8.025772901,0.398966071,0.003740898,0.002076519,0.001664379,0.423070065,0.407776009,0.392481953,54.96862149,0.020027429,0.034205057,0.027139954,0.033706657,0.029206685,-0.017240009
19/07/2016,24.88999939,25,24.83499908,24.96750069,23.36388206,95119600,2016,Jul,0.406959811,0.413637426,0.418966515,0.419739508,7.788573223,0.399967587,0.003649748,0.002391165,0.001258583,0.423245621,0.408114862,0.392984102,52.01703101,-0.017240009,0.03572256,0.025333354,0.033530779,0.029029597,-0.003263142
20/07/2016,25,25.11499977,24.93499947,24.98999977,23.38494301,105104000,2016,Jul,0.405631843,0.417237085,0.417396964,0.418096345,7.828818975,0.400261367,0.003430806,0.002599093,0.000831713,0.419934505,0.410081168,0.40022783,51.4634631,-0.003263142,0.033298266,0.024228434,0.032791436,0.028951403,-0.017104098
21/07/2016,24.95750046,25.25,24.78249931,24.85750008,23.26094818,130808000,2016,Jul,0.398693876,0.41904003,0.407302609,0.412188488,7.474873083,0.400562025,0.002666717,0.002612618,5.41E-05,0.41605475,0.406270557,0.396486363,48.55610461,-0.017104098,0.018556816,0.024900333,0.0327736,0.02898205,-0.013469771
22/07/2016,24.81500053,24.82500076,24.57749939,24.66500092,23.08081436,113254800,2016,Jul,0.393323561,0.397793231,0.40137953,0.406113704,7.572489101,0.400194815,0.001609281,0.002411951,-0.000802669,0.41803056,0.403741594,0.389452628,46.37231599,-0.013469771,0.015733193,0.024843741,0.032609747,0.028953827,-0.022033817
25/07/2016,24.5625,24.70999908,24.22999954,24.33499908,22.77200127,161531600,2016,Jul,0.384657142,0.402065347,0.392124226,0.39875447,8.273301766,0.400964231,7.11E-05,0.001943786,-0.001872658,0.414316489,0.397853246,0.381390003,43.01055793,-0.022033817,0.007040971,0.025559872,0.027565609,0.029072488,0.005167071
26/07/2016,24.20499992,24.49250031,24.10499954,24.16749954,22.61526108,224959200,2016,Jul,0.386644692,0.397303843,0.396306432,0.390503236,8.924056384,0.401728623,-0.000976238,0.001359781,-0.002336019,0.409255263,0.393790223,0.378325183,44.01299729,0.005167071,0.010984609,0.025639378,0.027562791,0.028912433,0.178851264
27/07/2016,26.06749916,26.08749962,25.6875,25.73749924,24.08442307,369379200,2016,Jul,0.455796585,0.466802402,0.465020236,0.474656914,10.8126487,0.404509286,0.003730692,0.001833964,0.001896729,0.456739891,0.403823171,0.350906452,66.25406645,0.178851264,0.085907211,0.062405575,0.045540095,0.040409889,-0.049400664
28/07/2016,25.70750046,26.11249924,25.70499992,26.08499908,24.40960312,159479200,2016,Jul,0.433279931,0.431529305,0.429213025,0.418672778,10.63669848,0.406065441,0.005579743,0.002583119,0.002996623,0.468028258,0.410740382,0.353452506,58.15328092,-0.049400664,0.091045459,0.063799875,0.047284317,0.040900827,-0.036364814
29/07/2016,26.04750061,26.13750076,25.92000008,26.05249977,24.37918854,110934800,2016,Jul,0.417523786,0.425244125,0.430434953,0.432437417,10.47331612,0.406479613,0.005707942,0.003208084,0.002499858,0.470191157,0.415580427,0.360969698,53.24712304,-0.036364814,0.093676197,0.064327037,0.048043827,0.041382332,0.033162793
